ID,"Street Address
City, State","Building
Registration
Number",HPD-BIN,HUD_ID,HPD-BBL,HPD-complaints S1-2019,HPD-complaints S2-2020,increase
106142599999999991020610127,"409 W 146TH ST
NEW YORK, NY",137416,1061425,9999999999,1020610127,#N/A,#N/A,#N/A
106139099999999991020610024,"421 W 146TH ST
NEW YORK, NY",120872,1061390,9999999999,1020610024,#N/A,#N/A,#N/A
106142199999999991020610122,"427 W 146TH ST
NEW YORK, NY",115169,1061421,9999999999,1020610122,#N/A,#N/A,#N/A
106239799999999991020930027,"603 W 146TH ST
NEW YORK, NY",112598,1062397,9999999999,1020930027,#N/A,#N/A,#N/A
106144699999999991020620027,"415 W 147TH ST
NEW YORK, NY",128259,1061446,9999999999,1020620027,#N/A,#N/A,#N/A
106144399999999991020620024,"425 W 147TH ST
NEW YORK, NY",118410,1061443,9999999999,1020620024,#N/A,#N/A,#N/A
106144299999999991020620023,"427 W 147TH ST
NEW YORK, NY",135283,1061442,9999999999,1020620023,#N/A,#N/A,#N/A
106141099999999991020610046,"428 W 147TH ST
NEW YORK, NY",110180,1061410,9999999999,1020610046,#N/A,#N/A,#N/A
106141199999999991020610047,"430 W 147TH ST
NEW YORK, NY",110184,1061411,9999999999,1020610047,#N/A,#N/A,#N/A
106143999999999991020620019,"439 W 147TH ST
NEW YORK, NY",127798,1061439,9999999999,1020620019,#N/A,#N/A,#N/A
106143699999999991020620009,"459 W 147TH ST
NEW YORK, NY",110494,1061436,9999999999,1020620009,#N/A,#N/A,#N/A
106197399999999991020790014,"537 W 147TH ST
NEW YORK, NY",123170,1061973,9999999999,1020790014,#N/A,#N/A,#N/A
106197299999999991020790013,"539 W 147TH ST
NEW YORK, NY",125931,1061972,9999999999,1020790013,#N/A,#N/A,#N/A
106196799999999991020780059,"544 W 147TH ST
NEW YORK, NY",128388,1061967,9999999999,1020780059,#N/A,#N/A,#N/A
106150999999999991020630028,"403 W 148TH ST
NEW YORK, NY",111787,1061509,9999999999,1020630028,#N/A,#N/A,#N/A
106150799999999991020630026,"409 W 148TH ST
NEW YORK, NY",125045,1061507,9999999999,1020630026,#N/A,#N/A,#N/A
106150299999999991020630021,"421 W 148TH ST
NEW YORK, NY",132375,1061502,9999999999,1020630021,#N/A,#N/A,#N/A
106149299999999991020630011,"453 W 148TH ST
NEW YORK, NY",110146,1061492,9999999999,1020630011,#N/A,#N/A,#N/A
106148899999999991020630005,"465 W 148TH ST
NEW YORK, NY",115056,1061488,9999999999,1020630005,#N/A,#N/A,#N/A
106146899999999991020620061,"474 W 148TH ST
NEW YORK, NY",129554,1061468,9999999999,1020620061,#N/A,#N/A,#N/A
106203199999999991020800027,"503 W 148TH ST
NEW YORK, NY",110861,1062031,9999999999,1020800027,#N/A,#N/A,#N/A
